status	source	name	evidence
green	basic_tests.c	test_foreign_dtd_with_doctype	Eiffel parser combines a configured foreign DTD with an internal doctype subset while preserving internal entity expansion.
green	basic_tests.c	test_foreign_dtd_without_external_subset	Eiffel parser calls the foreign-DTD external entity handler even when the document doctype has only an internal subset.
green	basic_tests.c	test_empty_foreign_dtd	Eiffel parser keeps undefined-entity rejection when XML_UseForeignDTD is enabled but the external entity handler does not parse a DTD.
green	basic_tests.c	test_invalid_foreign_dtd	Eiffel child parsers now parse external DTD subset context explicitly and propagate invalid foreign DTD child failures as XML_ERROR_EXTERNAL_ENTITY_HANDLING.
green	basic_tests.c	test_ext_entity_not_standalone	Eiffel external parameter entity loading now invokes XML_NotStandaloneHandler in child DTD parsers and propagates rejection through the parent external entity callback.
green	basic_tests.c	test_invalid_tag_in_dtd	Eiffel external parameter entity child parsers reject element tags inside DTD subset content and propagate the nested child failure through the parent parser.
green	basic_tests.c	test_recursive_external_parameter_entity_2	Eiffel external DTD subset parsing detects recursive parameter entity replacement text while preserving first-declaration-wins duplicates.
green	basic_tests.c	test_recursive_external_parameter_entity	Eiffel external subset child parsers propagate recursive external parameter entity failures through the parent external entity callback.
green	basic_tests.c	test_undefined_ext_entity_in_external_dtd	Eiffel external subset parsing skips unresolved external parameter entities when handlers decline or are cleared, matching the covered upstream devaluer path.
green	basic_tests.c	test_dtd_stop_processing	Eiffel internal subset parsing skips an undefined parameter entity and stops later DTD declaration processing without failing the document.
green	basic_tests.c	test_external_bom_consumed	Eiffel input normalization strips a UTF-8 BOM before external DTD subset tokenization, including when the native input is split across non-final/final calls.
green	misc_tests.c	test_misc_create_external_entity_parser_with_null_context	The Windows native smoke verifies XML_ExternalEntityParserCreate accepts a null context and frees the Eiffel-backed child parser.
green	basic_tests.c	test_hash*	Eiffel-owned native parser hash salt setters reject null arguments and parsing-after-start changes while preserving successful parsing for collision-heavy documents.
green	basic_tests.c	test_bad_encoding	Eiffel-owned explicit encoding state accepts unsupported names before parsing and reports XML_ERROR_UNKNOWN_ENCODING during parse.
green	basic_tests.c	test_explicit_encoding	Eiffel-owned explicit encoding state accepts UTF-8 before parse, rejects mid-parse changes, and allows reset after parsing finishes.
red	acc_tests.c	test_accounting_precision	Upstream accounting precision semantics are not implemented behind the Windows native ABI.
red	acc_tests.c	test_billion_laughs_attack_protection_api	The attack-protection setters are link-compatible but do not yet enforce libexpat accounting semantics.
red	acc_tests.c	test_amplification_isolated_external_parser	External-entity parser accounting is not implemented.
red	alloc_tests.c	test_alloc_*	Upstream allocation-failure injection and allocator exhaustion checks are not implemented in the native bridge.
red	nsalloc_tests.c	test_nsalloc_*	Namespace allocation and namespace-context exhaustion checks are not implemented.
red	ns_tests.c	test_*	Namespace parsing, namespace callbacks, namespace triplets, and namespace error parity are not implemented.
red	misc_tests.c	test_misc_attribute_leak	Upstream attribute lifetime/leak checks are not yet audited against the Eiffel-backed native bridge.
red	misc_tests.c	test_misc_utf16le	UTF-16 input parity is outside the Windows Phase 1 UTF-8 native path.
red	misc_tests.c	test_misc_stop*	Stop/resume parser state is not implemented.
red	misc_tests.c	test_misc_resume*	Stop/resume parser state is not implemented.
red	misc_tests.c	test_misc_char_handler_stop_without_leak	Stop/resume parser state is not implemented.
red	misc_tests.c	test_renter_loop_finite_content	Reparse/loop-progress parity is not yet audited against upstream issue tests.
red	misc_tests.c	test_misc_no_infinite_loop_issue_1161	Reparse/loop-progress parity is not yet audited against upstream issue tests.
red	basic_tests.c	test_*utf16*	UTF-16 input and handler parity are outside the Windows Phase 1 UTF-8 native path.
red	basic_tests.c	test_unknown_encoding*	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_unknown_ascii_encoding*	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_unrecognised_encoding_internal_entity	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_missing_encoding_conversion_fn	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_failing_encoding_conversion_fn	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_invalid_unknown_encoding	Unknown/custom encoding callbacks are stubbed in the native ABI.
red	basic_tests.c	test_ext_entity_set_*	External entity encoding/BOM edge semantics are not fully implemented.
red	basic_tests.c	test_ext_entity_bad_encoding*	External entity encoding diagnostics are not fully implemented.
red	basic_tests.c	test_ext_entity_invalid*	External entity invalid-token diagnostics are not fully implemented.
red	basic_tests.c	test_ext_entity_trailing_*	External entity trailing-token diagnostics are not fully implemented.
red	basic_tests.c	test_ext_entity_value_abort	External entity callback abort semantics are not implemented.
red	basic_tests.c	test_ext_entity_latin1_*	External entity Latin-1 decoding is not implemented.
red	basic_tests.c	test_ext_entity_utf16_*	External entity UTF-16 decoding is not implemented.
red	basic_tests.c	test_ext_entity_utf8_non_bom	External entity UTF-8 non-BOM edge semantics are not fully implemented.
red	basic_tests.c	test_external_entity_values	External entity value callback edge semantics are not implemented.
red	basic_tests.c	test_*suspend*	Stop/suspend/resume parser state is not implemented.
red	basic_tests.c	test_*resume*	Stop/suspend/resume parser state is not implemented.
red	basic_tests.c	test_stop_parser_between_char_data_calls	Stop/suspend/resume parser state is not implemented.
red	basic_tests.c	test_repeated_stop_parser_between_char_data_calls	Stop/suspend/resume parser state is not implemented.
red	basic_tests.c	test_stop_parser_between_cdata_calls	Stop/suspend/resume parser state is not implemented.
red	basic_tests.c	test_abort*	Abort semantics are not implemented.
red	basic_tests.c	test_default_current	Default-current replay chunking semantics are not fully implemented.
red	basic_tests.c	test_siphash*	Hash collision/salt behavior is link-compatible but not libexpat-equivalent.
red	basic_tests.c	test_set_reparse_deferral*	Reparse deferral setters are link-compatible but do not implement upstream behavior.
red	basic_tests.c	test_reparse*	Reparse deferral behavior is not implemented.
red	basic_tests.c	test_bypass_heuristic_when_close_to_bufsize	Reparse deferral/buffer heuristic behavior is not implemented.
red	basic_tests.c	test_varying_buffer_fills	Reparse deferral/buffer heuristic behavior is not implemented.
blocked	upstream-native-suite	upstream-libexpat-runtests	The current Windows verification environment has no cmake on PATH; the adapter still produces the manifest and expected-failure expansion.
